precificado_em;titulo;preco;taxa
2026-07-24T15:31:16-03:00;Tesouro Renda+ Aposentadoria Extra 2050;504.88;IPCA + 7,23%
2026-07-24T15:31:16-03:00;Tesouro Renda+ Aposentadoria Extra 2060;256.12;IPCA + 7,19%
2026-07-24T15:31:16-03:00;Tesouro Renda+ Aposentadoria Extra 2065;181.38;IPCA + 7,19%
2026-07-27T09:30:11-03:00;Tesouro Renda+ Aposentadoria Extra 2050;509.46;IPCA + 7,20%
2026-07-27T09:30:11-03:00;Tesouro Renda+ Aposentadoria Extra 2060;260.16;IPCA + 7,15%
2026-07-27T09:30:11-03:00;Tesouro Renda+ Aposentadoria Extra 2065;184.58;IPCA + 7,15%
2026-07-27T12:01:24-03:00;Tesouro Renda+ Aposentadoria Extra 2050;506.52;IPCA + 7,22%
2026-07-27T12:01:24-03:00;Tesouro Renda+ Aposentadoria Extra 2060;257.19;IPCA + 7,18%
2026-07-27T12:01:24-03:00;Tesouro Renda+ Aposentadoria Extra 2065;182.22;IPCA + 7,18%
2026-07-27T13:03:03-03:00;Tesouro Renda+ Aposentadoria Extra 2050;506.52;IPCA + 7,22%
2026-07-27T13:03:03-03:00;Tesouro Renda+ Aposentadoria Extra 2060;257.19;IPCA + 7,18%
2026-07-27T13:03:03-03:00;Tesouro Renda+ Aposentadoria Extra 2065;182.22;IPCA + 7,18%
2026-07-27T15:24:11-03:00;Tesouro Renda+ Aposentadoria Extra 2050;505.06;IPCA + 7,23%
2026-07-27T15:24:11-03:00;Tesouro Renda+ Aposentadoria Extra 2060;256.21;IPCA + 7,19%
2026-07-27T15:24:11-03:00;Tesouro Renda+ Aposentadoria Extra 2065;181.44;IPCA + 7,19%
2026-07-27T18:00:05-03:00;Tesouro Renda+ Aposentadoria Extra 2050;505.06;IPCA + 7,23%
2026-07-27T18:00:05-03:00;Tesouro Renda+ Aposentadoria Extra 2060;256.21;IPCA + 7,19%
2026-07-27T18:00:05-03:00;Tesouro Renda+ Aposentadoria Extra 2065;181.44;IPCA + 7,19%
2026-07-28T09:22:59-03:00;Tesouro Renda+ Aposentadoria Extra 2050;502.33;IPCA + 7,25%
2026-07-28T09:22:59-03:00;Tesouro Renda+ Aposentadoria Extra 2060;255.32;IPCA + 7,20%
2026-07-28T09:22:59-03:00;Tesouro Renda+ Aposentadoria Extra 2065;180.73;IPCA + 7,20%
2026-07-28T12:08:12-03:00;Tesouro Renda+ Aposentadoria Extra 2050;500.88;IPCA + 7,26%
2026-07-28T12:08:12-03:00;Tesouro Renda+ Aposentadoria Extra 2060;254.35;IPCA + 7,21%
2026-07-28T12:08:12-03:00;Tesouro Renda+ Aposentadoria Extra 2065;179.96;IPCA + 7,21%
2026-07-28T13:02:11-03:00;Tesouro Renda+ Aposentadoria Extra 2050;500.88;IPCA + 7,26%
2026-07-28T13:02:11-03:00;Tesouro Renda+ Aposentadoria Extra 2060;254.35;IPCA + 7,21%
2026-07-28T13:02:11-03:00;Tesouro Renda+ Aposentadoria Extra 2065;179.96;IPCA + 7,21%
2026-07-28T15:33:13-03:00;Tesouro Renda+ Aposentadoria Extra 2050;499.43;IPCA + 7,27%
2026-07-28T15:33:13-03:00;Tesouro Renda+ Aposentadoria Extra 2060;251.45;IPCA + 7,24%
2026-07-28T15:33:13-03:00;Tesouro Renda+ Aposentadoria Extra 2065;177.66;IPCA + 7,24%
2026-07-28T18:00:07-03:00;Tesouro Renda+ Aposentadoria Extra 2050;499.43;IPCA + 7,27%
2026-07-28T18:00:07-03:00;Tesouro Renda+ Aposentadoria Extra 2060;251.45;IPCA + 7,24%
2026-07-28T18:00:07-03:00;Tesouro Renda+ Aposentadoria Extra 2065;177.66;IPCA + 7,24%
2026-07-29T00:03:25-03:00;Tesouro Renda+ Aposentadoria Extra 2050;499.43;IPCA + 7,27%
2026-07-29T00:03:25-03:00;Tesouro Renda+ Aposentadoria Extra 2060;251.45;IPCA + 7,24%
2026-07-29T00:03:25-03:00;Tesouro Renda+ Aposentadoria Extra 2065;177.66;IPCA + 7,24%
2026-07-29T09:31:08-03:00;Tesouro Renda+ Aposentadoria Extra 2050;487.79;IPCA + 7,35%
2026-07-29T09:31:08-03:00;Tesouro Renda+ Aposentadoria Extra 2060;244.7;IPCA + 7,31%
2026-07-29T09:31:08-03:00;Tesouro Renda+ Aposentadoria Extra 2065;172.33;IPCA + 7,31%
2026-07-29T11:58:40-03:00;Tesouro Renda+ Aposentadoria Extra 2050;493.45;IPCA + 7,31%
2026-07-29T11:58:40-03:00;Tesouro Renda+ Aposentadoria Extra 2060;249.41;IPCA + 7,26%
2026-07-29T11:58:40-03:00;Tesouro Renda+ Aposentadoria Extra 2065;176.06;IPCA + 7,26%
2026-07-29T13:02:09-03:00;Tesouro Renda+ Aposentadoria Extra 2050;493.45;IPCA + 7,31%
2026-07-29T13:02:09-03:00;Tesouro Renda+ Aposentadoria Extra 2060;249.41;IPCA + 7,26%
2026-07-29T13:02:09-03:00;Tesouro Renda+ Aposentadoria Extra 2065;176.06;IPCA + 7,26%
2026-07-29T15:32:21-03:00;Tesouro Renda+ Aposentadoria Extra 2050;490.61;IPCA + 7,33%
2026-07-29T15:32:21-03:00;Tesouro Renda+ Aposentadoria Extra 2060;248.46;IPCA + 7,27%
2026-07-29T15:32:21-03:00;Tesouro Renda+ Aposentadoria Extra 2065;175.31;IPCA + 7,27%
2026-07-29T18:00:05-03:00;Tesouro Renda+ Aposentadoria Extra 2050;490.61;IPCA + 7,33%
2026-07-29T18:00:05-03:00;Tesouro Renda+ Aposentadoria Extra 2060;248.46;IPCA + 7,27%
2026-07-29T18:00:05-03:00;Tesouro Renda+ Aposentadoria Extra 2065;175.31;IPCA + 7,27%
2026-07-30T09:23:54-03:00;Tesouro Renda+ Aposentadoria Extra 2050;480.95;IPCA + 7,40%
2026-07-30T09:23:54-03:00;Tesouro Renda+ Aposentadoria Extra 2060;239.24;IPCA + 7,37%
2026-07-30T09:23:54-03:00;Tesouro Renda+ Aposentadoria Extra 2065;168.02;IPCA + 7,37%
2026-07-30T12:00:42-03:00;Tesouro Renda+ Aposentadoria Extra 2050;479.57;IPCA + 7,41%
2026-07-30T12:00:42-03:00;Tesouro Renda+ Aposentadoria Extra 2060;238.33;IPCA + 7,38%
2026-07-30T12:00:42-03:00;Tesouro Renda+ Aposentadoria Extra 2065;167.3;IPCA + 7,38%
2026-07-30T13:03:16-03:00;Tesouro Renda+ Aposentadoria Extra 2050;479.57;IPCA + 7,41%
